Ranked_weight,Score,Protein Name
8,0.8356,HXA1
25,0.6386,HXA2
2,0.9274,HXA3
13,0.7769,HXA4
7,0.8813,HXA5
31,0.5899,HXA6
30,0.5988,HXA7
39,0.427,HXA9
4,0.9126,HXA10
27,0.618,HXA11
18,0.7296,HXA13
5,0.8839,HXB1
35,0.4985,HXB2
1,0.9503,HXB3
23,0.6842,HXB4
10,0.8283,HXB5
20,0.7232,HXB6
14,0.7628,HXB7
17,0.7425,HXB8
38,0.4337,HXB9
26,0.6219,HXB13
19,0.7243,HXC4
28,0.6168,HXC5
33,0.5204,HXC6
11,0.785,HXC8
36,0.4628,HXC9
32,0.5687,HXC10
29,0.6136,HXC11
21,0.7204,HXC12
22,0.7193,HXC13
24,0.6833,HXD1
6,0.8816,HXD3
3,0.9248,HXD4
9,0.8335,HXD8
12,0.7794,HXD9
37,0.4394,HXD10
16,0.7486,HXD11
34,0.5148,HXD12
15,0.7529,HXD13
